,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,25.0,0.0,0.0,5,"358,1610612753",1,0,0.339,0.058,0.204,0.175,0.686,0.029,0.0,358,Anfernee Hardaway,0.044,0.029,0.073,0.248,ORL,1610612753,0,0.0
1,29.0,0.0,0.0,5,"423,1610612751",1,0,0.365,0.34,0.37,0.062,0.957,0.031,0.0,423,Chris Gatling,0.0,0.0,0.0,0.062,NJN,1610612751,0,0.0
2,24.0,0.0,0.0,5,"185,1610612764",1,0,0.317,0.068,0.273,0.182,0.638,0.068,0.0,185,Chris Webber,0.046,0.0,0.0,0.046,WAS,1610612764,0,0.0
3,27.0,0.0,0.0,5,"363,1610612737",1,0,0.353,0.084,0.14,0.14,0.617,0.056,0.0,363,Christian Laettner,0.056,0.0,0.0,0.084,ATL,1610612737,0,0.0
4,34.0,0.0,0.0,5,"96,1610612760",1,0,0.378,0.347,0.27,0.096,0.868,0.058,0.0,96,Detlef Schrempf,0.0,0.116,0.077,0.212,SEA,1610612760,0,0.0
5,31.0,0.024,0.024,5,"87,1610612737",1,0,0.379,0.048,0.145,0.241,0.891,0.0,0.0,87,Dikembe Mutombo,0.072,0.0,0.024,0.048,ATL,1610612737,0,0.0
6,25.0,0.022,0.0,5,"224,1610612747",1,0,0.365,0.132,0.132,0.044,0.724,0.022,0.0,224,Eddie Jones,0.044,0.0,0.0,0.132,LAL,1610612747,0,0.0
7,28.0,0.0,0.0,5,"56,1610612760",1,0,0.378,0.357,0.238,0.211,1.03,0.026,0.0,56,Gary Payton,0.0,0.053,0.026,0.198,SEA,1610612760,0,0.0
8,30.0,0.0,0.027,5,"779,1610612766",1,0,0.328,0.121,0.215,0.107,0.725,0.027,0.0,779,Glen Rice,0.027,0.081,0.027,0.322,CHH,1610612766,0,0.0
9,24.0,0.0,0.0,5,"255,1610612765",1,0,0.348,0.029,0.143,0.143,0.684,0.029,0.0,255,Grant Hill,0.043,0.086,0.029,0.114,DET,1610612765,0,0.0
10,34.0,0.0,0.0,5,"165,1610612745",1,0,0.395,0.295,0.243,0.243,1.11,0.035,0.0,165,Hakeem Olajuwon,0.0,0.0,0.069,0.173,HOU,1610612745,0,0.0
11,34.0,0.0,0.0,5,"247,1610612765",1,0,0.342,0.068,0.205,0.274,0.753,0.034,0.0,247,Joe Dumars,0.103,0.0,0.0,0.103,DET,1610612765,0,0.0
12,35.0,0.0,0.0,5,"304,1610612762",1,0,0.401,0.204,0.081,0.143,0.917,0.041,0.0,304,John Stockton,0.0,0.0,0.0,0.244,UTA,1610612762,0,0.0
13,33.0,0.039,0.019,5,"252,1610612762",1,0,0.403,0.155,0.116,0.135,0.908,0.0,0.0,252,Karl Malone,0.039,0.0,0.0,0.077,UTA,1610612762,0,0.0
14,21.0,0.042,0.0,5,"708,1610612750",1,0,0.372,0.458,0.125,0.062,0.77,0.042,0.0,708,Kevin Garnett,0.042,0.0,0.0,0.042,MIN,1610612750,0,0.0
15,26.0,0.0,0.0,5,"84,1610612744",1,0,0.367,0.399,0.16,0.16,0.877,0.016,0.0,84,Latrell Sprewell,0.032,0.16,0.096,0.239,GSW,1610612744,0,0.0
16,34.0,0.0,0.013,5,"893,1610612741",1,0,0.343,0.052,0.13,0.182,0.662,0.052,0.0,893,Michael Jordan,0.052,0.0,0.039,0.13,CHI,1610612741,0,0.0
17,32.0,0.0,0.0,5,"782,1610612758",1,0,0.379,0.262,0.279,0.175,0.96,0.035,0.0,782,Mitch Richmond,0.0,0.0,0.0,0.157,SAC,1610612758,0,0.0
18,31.0,0.0,0.0,5,"937,1610612741",1,0,0.345,0.085,0.113,0.057,0.694,0.0,0.0,937,Scottie Pippen,0.0,0.113,0.057,0.113,CHI,1610612741,0,0.0
19,27.0,0.0,0.0,5,"431,1610612760",1,0,0.378,0.267,0.178,0.284,1.048,0.0,0.0,431,Shawn Kemp,0.0,0.107,0.0,0.16,SEA,1610612760,0,0.0
20,27.0,0.0,0.019,5,"210,1610612739",1,0,0.327,0.095,0.19,0.152,0.758,0.038,0.0,210,Terrell Brandon,0.0,0.0,0.0,0.19,CLE,1610612739,0,0.0
21,30.0,0.0,0.0,5,"896,1610612748",1,0,0.323,0.16,0.273,0.182,0.752,0.0,0.0,896,Tim Hardaway,0.068,0.046,0.0,0.228,MIA,1610612748,0,0.0
22,27.0,0.0,0.0,5,"339,1610612750",1,0,0.374,0.254,0.092,0.069,0.716,0.069,0.0,339,Tom Gugliotta,0.069,0.0,0.092,0.092,MIN,1610612750,0,0.0
23,25.0,0.0,0.0,5,"452,1610612749",1,0,0.322,0.077,0.246,0.154,0.799,0.015,0.0,452,Vin Baker,0.154,0.0,0.031,0.246,MIL,1610612749,0,0.0
