,AST,AST_ADJ,AST_PTS_CREATED,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,FT_AST,GP,L,MIN,PASSES_MADE,PASSES_RECEIVED,PLAYER_ID,PLAYER_NAME,POTENTIAL_AST,SECONDARY_AST,TEAM_ABBREVIATION,TEAM_ID,W
0,2,4,6,0.045,0.091,0,17,14,77.0,44,50,1627773,AJ Hammons,6,2,DAL,1610612742,3
1,84,103,193,0.101,0.123,6,36,16,531.0,835,991,201166,Aaron Brooks,176,13,IND,1610612754,20
2,79,117,188,0.081,0.12,10,43,26,1172.0,977,1039,203932,Aaron Gordon,154,28,ORL,1610612753,17
3,3,3,8,0.13,0.13,0,5,3,17.0,23,21,1626151,Aaron Harrison,4,0,CHA,1610612766,2
4,4,7,10,0.031,0.054,2,10,7,88.0,130,107,203940,Adreian Payne,13,1,MIN,1610612750,3
5,151,190,370,0.094,0.118,14,31,10,1023.0,1606,1506,201143,Al Horford,284,25,BOS,1610612738,21
6,35,48,82,0.055,0.076,2,39,18,589.0,632,595,2744,Al Jefferson,68,11,IND,1610612754,21
7,57,74,141,0.075,0.098,5,25,14,697.0,755,530,202329,Al-Farouq Aminu,81,12,POR,1610612757,11
8,8,13,16,0.063,0.103,0,16,6,184.0,126,132,101187,Alan Anderson,10,5,LAC,1610612746,10
9,1,2,3,0.009,0.018,0,15,13,115.0,112,61,1626210,Alan Williams,5,1,PHX,1610612756,2
10,2,3,4,0.045,0.068,0,7,2,45.0,44,54,202692,Alec Burks,9,1,UTA,1610612762,5
11,18,27,45,0.043,0.064,3,36,17,512.0,423,461,203518,Alex Abrines,39,6,OKC,1610612760,19
12,23,34,54,0.029,0.043,3,37,26,795.0,794,542,203458,Alex Len,53,8,PHX,1610612756,11
13,7,13,18,0.018,0.033,1,21,15,297.0,397,233,201582,Alexis Ajinca,17,5,NOP,1610612740,6
14,58,79,142,0.058,0.079,9,43,25,1260.0,997,1020,203459,Allen Crabbe,107,14,POR,1610612757,18
15,6,6,16,0.083,0.083,0,13,9,89.0,72,56,202087,Alonzo Gee,12,0,DEN,1610612743,4
16,74,102,179,0.075,0.103,4,40,15,814.0,987,761,101161,Amir Johnson,131,24,BOS,1610612738,25
17,8,8,20,0.063,0.063,0,10,2,68.0,127,89,2760,Anderson Varejao,16,0,GSW,1610612744,8
18,42,70,100,0.033,0.055,1,41,23,1270.0,1271,886,203083,Andre Drummond,87,27,DET,1610612765,18
19,132,186,310,0.117,0.164,8,40,5,1002.0,1133,1016,2738,Andre Iguodala,224,45,GSW,1610612744,35
20,45,69,115,0.042,0.064,8,43,18,1330.0,1076,807,203460,Andre Roberson,101,16,OKC,1610612760,25
21,45,56,108,0.06,0.075,1,22,16,518.0,744,444,101106,Andrew Bogut,100,10,DAL,1610612742,6
22,139,197,344,0.081,0.115,12,40,17,1001.0,1711,1906,1626150,Andrew Harrison,339,47,MEM,1610612763,23
23,7,13,17,0.029,0.055,1,25,10,221.0,238,190,203094,Andrew Nicholson,11,5,WAS,1610612764,15
24,95,132,237,0.087,0.12,13,41,27,1511.0,1098,1599,203952,Andrew Wiggins,213,24,MIN,1610612750,14
25,8,12,21,0.031,0.047,0,20,17,213.0,256,182,203461,Anthony Bennett,19,4,BKN,1610612751,3
26,6,8,15,0.051,0.068,2,9,6,143.0,118,114,1626148,Anthony Brown,12,0,NOP,1610612740,3
27,85,124,210,0.045,0.066,10,39,24,1434.0,1869,1891,203076,Anthony Davis,168,29,NOP,1610612740,15
28,15,19,36,0.066,0.083,2,30,13,468.0,228,306,201627,Anthony Morrow,29,2,OKC,1610612760,17
29,26,43,64,0.036,0.06,2,28,16,599.0,713,547,201229,Anthony Tolliver,64,15,SAC,1610612758,12
30,1,1,3,0.038,0.038,0,3,2,30.0,26,33,203462,Archie Goodwin,6,0,NOP,1610612740,1
31,2,3,5,0.041,0.061,0,8,5,28.0,49,35,202620,Arinze Onuaku,10,1,ORL,1610612753,3
32,12,15,27,0.029,0.036,1,40,22,598.0,416,334,203382,Aron Baynes,45,2,DET,1610612765,18
33,32,50,82,0.05,0.078,6,33,20,764.0,639,708,201167,Arron Afflalo,76,12,SAC,1610612758,13
34,103,134,253,0.079,0.102,8,41,14,1078.0,1311,1558,203085,Austin Rivers,203,25,LAC,1610612746,27
35,86,131,210,0.063,0.097,11,36,14,1257.0,1357,1467,202340,Avery Bradley,192,35,BOS,1610612738,22
36,19,29,44,0.046,0.07,2,31,16,479.0,413,479,203463,Ben McLemore,40,8,SAC,1610612758,15
37,85,117,199,0.106,0.146,12,26,13,399.0,799,907,2757,Beno Udrih,159,19,DET,1610612765,13
38,45,65,108,0.03,0.044,1,42,25,1043.0,1481,896,202687,Bismack Biyombo,97,19,ORL,1610612753,17
39,123,142,298,0.082,0.094,6,26,7,875.0,1505,1466,201933,Blake Griffin,214,14,LAC,1610612746,19
40,3,10,8,0.022,0.075,4,19,10,139.0,134,120,1626246,Boban Marjanovic,7,3,DET,1610612765,9
41,1,2,3,0.029,0.059,0,10,3,33.0,34,46,201628,Bobby Brown,4,1,HOU,1610612745,7
42,15,17,35,0.034,0.038,1,27,16,336.0,443,333,1626171,Bobby Portis,38,2,CHI,1610612741,11
43,58,83,139,0.066,0.094,3,36,29,963.0,883,1094,202711,Bojan Bogdanovic,126,22,BKN,1610612751,7
44,74,99,183,0.075,0.101,13,34,13,636.0,982,903,2564,Boris Diaw,147,12,UTA,1610612762,21
45,127,163,281,0.121,0.155,7,36,16,1230.0,1053,1517,203078,Bradley Beal,230,31,WAS,1610612764,20
46,13,20,36,0.037,0.057,2,27,10,315.0,348,315,101138,Brandon Bass,31,5,LAC,1610612746,17
47,92,113,225,0.06,0.074,7,45,30,1248.0,1526,1495,1627742,Brandon Ingram,168,14,LAL,1610612747,15
48,204,262,491,0.105,0.135,19,42,24,981.0,1939,2155,201943,Brandon Jennings,437,40,NYK,1610612752,18
49,96,120,238,0.08,0.099,11,37,26,831.0,1207,1537,202688,Brandon Knight,202,13,PHX,1610612756,11
50,11,14,24,0.07,0.089,0,16,12,222.0,158,159,201575,Brandon Rush,20,3,MIN,1610612750,4
51,6,7,14,0.066,0.077,0,10,5,56.0,91,106,203148,Brian Roberts,26,1,CHA,1610612766,5
52,95,120,231,0.091,0.114,10,34,27,1006.0,1049,1294,201572,Brook Lopez,187,15,BKN,1610612751,7
53,3,3,7,0.15,0.15,0,7,1,21.0,20,14,203998,Bruno Caboclo,3,0,TOR,1610612761,6
54,1,6,5,0.026,0.158,2,13,3,57.0,38,41,1627854,Bryn Forbes,2,3,SAS,1610612759,10
55,55,67,126,0.072,0.088,2,42,26,842.0,759,877,1627741,Buddy Hield,117,11,NOP,1610612740,16
56,160,219,401,0.09,0.124,13,43,25,1482.0,1772,2372,203468,CJ McCollum,321,45,POR,1610612757,18
57,21,29,44,0.037,0.051,1,33,15,718.0,570,612,101139,CJ Miles,53,7,IND,1610612754,18
58,43,52,108,0.092,0.111,5,31,20,384.0,469,461,201228,CJ Watson,94,4,ORL,1610612753,11
59,9,10,24,0.153,0.169,0,16,10,75.0,59,64,203912,CJ Wilcox,13,1,ORL,1610612753,6
60,10,18,25,0.058,0.105,0,6,2,94.0,171,189,1626166,Cameron Payne,23,8,OKC,1610612760,4
61,29,38,76,0.091,0.119,2,19,16,341.0,320,329,1627747,Caris LeVert,60,7,BKN,1610612751,3
62,126,157,302,0.09,0.112,10,41,23,1362.0,1397,1745,2546,Carmelo Anthony,229,21,NYK,1610612752,18
63,21,31,51,0.061,0.091,0,17,6,303.0,342,381,202718,Chandler Parsons,54,10,MEM,1610612763,11
64,21,35,57,0.027,0.045,7,33,10,617.0,778,611,101112,Channing Frye,39,7,CLE,1610612739,23
65,1,5,2,0.021,0.104,0,2,1,21.0,48,53,1626184,Chasson Randle,3,4,PHI,1610612755,1
66,2,4,5,0.022,0.044,1,7,4,84.0,91,60,1627767,Cheick Diallo,2,1,NOP,1610612740,3
67,1,1,2,0.071,0.071,0,2,1,10.0,14,10,1627778,Chinanu Onuaku,2,0,HOU,1610612745,1
68,5,7,14,0.039,0.054,1,12,4,114.0,129,79,2365,Chris Andersen,10,1,CLE,1610612739,8
69,2,4,4,0.029,0.058,0,10,10,52.0,69,53,1626191,Chris McCullough,2,2,BKN,1610612751,0
70,349,434,810,0.148,0.185,33,36,9,1112.0,2351,2582,101108,Chris Paul,623,51,LAC,1610612746,27
71,0,0,0,0.0,0.0,0,1,0,3.0,5,2,1626174,Christian Wood,0,0,CHA,1610612766,1
72,26,43,71,0.027,0.044,0,28,7,686.0,968,655,203991,Clint Capela,55,17,HOU,1610612745,21
73,49,69,116,0.083,0.117,3,34,15,908.0,591,579,203469,Cody Zeller,109,17,CHA,1610612766,19
74,20,32,48,0.043,0.069,2,37,25,404.0,462,255,202332,Cole Aldrich,39,10,MIN,1610612750,12
75,44,60,111,0.098,0.134,5,43,11,656.0,449,416,201147,Corey Brewer,78,10,HOU,1610612745,32
76,109,144,278,0.083,0.11,13,38,13,838.0,1315,1418,202709,Cory Joseph,223,23,TOR,1610612761,25
77,67,103,161,0.06,0.093,7,37,21,1127.0,1108,1257,201584,Courtney Lee,136,29,NYK,1610612752,16
78,20,28,51,0.036,0.05,1,33,17,477.0,561,358,1626245,Cristiano Felicio,41,7,CHI,1610612741,16
79,147,197,371,0.093,0.125,18,32,20,875.0,1574,1805,1626156,D'Angelo Russell,288,32,LAL,1610612747,12
80,134,187,323,0.087,0.122,18,43,26,868.0,1536,1824,201571,D.J. Augustin,266,35,ORL,1610612753,17
81,0,0,0,0.0,0.0,0,1,1,9.0,4,4,1627745,Damian Jones,0,0,GSW,1610612744,0
82,228,320,546,0.098,0.138,28,38,22,1352.0,2325,2876,203081,Damian Lillard,458,65,POR,1610612757,16
83,8,11,19,0.035,0.048,1,24,16,171.0,227,189,204014,Damjan Rudez,27,2,ORL,1610612753,8
84,1,2,3,0.029,0.057,0,10,4,42.0,35,27,1627849,Daniel Ochefu,2,1,WAS,1610612764,6
85,74,98,162,0.067,0.088,5,35,21,1199.0,1110,1144,201568,Danilo Gallinari,139,19,DEN,1610612743,14
86,59,85,133,0.066,0.096,5,31,6,798.0,888,780,201980,Danny Green,90,21,SAS,1610612759,25
87,17,29,45,0.026,0.045,4,29,16,725.0,650,466,201967,Dante Cunningham,42,8,NOP,1610612740,13
88,54,77,128,0.068,0.097,13,32,12,628.0,797,890,203957,Dante Exum,101,11,UTA,1610612762,20
89,0,0,0,0.0,0.0,0,1,1,1.0,1,0,1627863,Danuel House,0,0,WAS,1610612764,0
90,64,88,157,0.044,0.06,7,39,26,939.0,1459,1337,203967,Dario Saric,128,17,PHI,1610612755,13
91,16,20,42,0.053,0.066,2,17,12,251.0,304,250,201589,Darrell Arthur,26,2,DEN,1610612743,5
92,132,187,326,0.076,0.108,10,32,19,938.0,1738,1991,201954,Darren Collison,279,44,SAC,1610612758,13
93,23,30,57,0.095,0.124,4,25,13,279.0,242,308,1626199,Darrun Hilliard,52,3,DET,1610612765,12
94,58,81,148,0.058,0.081,11,38,8,652.0,1006,716,101135,David Lee,106,12,SAS,1610612759,30
95,84,109,186,0.114,0.147,10,41,6,472.0,740,601,2561,David West,139,15,GSW,1610612744,35
96,20,28,52,0.05,0.069,3,32,4,325.0,403,325,202722,Davis Bertans,38,5,SAS,1610612759,28
97,40,60,102,0.024,0.036,2,43,14,1372.0,1689,907,201599,DeAndre Jordan,89,18,LAC,1610612746,29
98,34,56,85,0.064,0.105,4,32,8,532.0,531,498,202732,DeAndre Liggins,60,18,CLE,1610612739,24
99,4,5,8,0.037,0.046,1,15,7,106.0,108,112,1627761,DeAndre' Bembry,12,0,ATL,1610612737,8
100,149,189,377,0.123,0.156,10,39,13,1385.0,1214,1935,201942,DeMar DeRozan,298,30,TOR,1610612761,26
101,164,208,404,0.085,0.108,16,39,23,1348.0,1920,2199,202326,DeMarcus Cousins,307,28,SAC,1610612758,16
102,29,44,71,0.044,0.067,4,34,11,907.0,660,621,201960,DeMarre Carroll,63,11,TOR,1610612761,23
103,17,19,38,0.096,0.107,0,20,4,114.0,177,217,1627749,Dejounte Murray,33,2,SAS,1610612759,16
104,3,3,4,0.167,0.167,0,4,3,17.0,18,22,1627743,Demetrius Jackson,4,0,BOS,1610612738,1
105,251,341,598,0.106,0.144,20,41,17,1259.0,2362,2886,203471,Dennis Schroder,522,68,ATL,1610612737,24
106,16,23,39,0.06,0.086,0,25,13,291.0,268,294,1627756,Denzel Valentine,34,7,CHI,1610612741,12
107,210,262,520,0.105,0.131,17,31,21,941.0,1995,2291,101114,Deron Williams,401,36,DAL,1610612742,10
108,27,42,65,0.032,0.05,4,28,9,646.0,846,731,202324,Derrick Favors,48,12,UTA,1610612762,19
109,0,0,0,0.0,0.0,0,2,2,6.0,4,5,1627884,"Derrick Jones, Jr.",0,0,PHX,1610612756,0
110,166,229,411,0.079,0.109,11,37,20,1181.0,2096,2550,201565,Derrick Rose,341,52,NYK,1610612752,17
111,14,19,35,0.026,0.035,1,23,20,369.0,542,437,202682,Derrick Williams,35,4,MIA,1610612748,3
112,117,155,288,0.098,0.13,17,38,26,1290.0,1195,1819,1626164,Devin Booker,238,21,PHX,1610612756,12
113,32,39,73,0.077,0.094,4,23,14,352.0,413,445,2734,Devin Harris,63,3,DAL,1610612742,9
114,16,23,37,0.03,0.043,1,33,8,513.0,530,316,203473,Dewayne Dedmon,34,6,SAS,1610612759,25
115,2,2,4,0.014,0.014,0,21,7,165.0,142,97,1627738,Deyonta Davis,7,0,MEM,1610612763,14
116,0,0,0,0.0,0.0,0,4,0,16.0,10,12,1627754,Diamond Stone,0,0,LAC,1610612746,4
117,80,93,198,0.119,0.139,4,21,15,623.0,670,875,203079,Dion Waiters,154,8,MIA,1610612748,6
118,23,30,55,0.059,0.077,1,14,11,342.0,390,387,1717,Dirk Nowitzki,42,6,DAL,1610612742,3
119,53,65,134,0.045,0.055,3,43,18,913.0,1172,929,1627734,Domantas Sabonis,97,10,OKC,1610612760,25
120,11,12,25,0.081,0.089,1,5,3,70.0,135,96,202700,Donatas Motiejunas,16,0,NOP,1610612740,2
121,37,56,100,0.048,0.073,7,38,26,835.0,763,644,1627827,Dorian Finney-Smith,82,12,DAL,1610612742,12
122,29,41,70,0.052,0.073,2,28,14,738.0,563,607,203926,Doug McDermott,56,10,CHI,1610612741,14
123,12,19,26,0.025,0.04,1,32,24,407.0,477,357,1627733,Dragan Bender,22,6,PHX,1610612756,8
124,302,375,716,0.126,0.157,21,39,6,1290.0,2393,1851,203110,Draymond Green,519,53,GSW,1610612744,33
125,42,63,99,0.029,0.044,4,36,16,1057.0,1429,933,2730,Dwight Howard,88,17,ATL,1610612737,20
126,32,41,82,0.036,0.046,1,39,27,782.0,882,572,203939,Dwight Powell,73,8,DAL,1610612742,12
127,138,178,332,0.112,0.144,15,36,19,1101.0,1236,1718,2548,Dwyane Wade,264,24,CHI,1610612741,17
